,id,use,Source,Year,MTCO2e
0,0,Residential Electricity,Electricity,2005,154524.0
1,1,Non-Residential Electricity,Electricity,2005,385451.0
2,2,Government non-City-owned Electricty,Electricity,2005,641.0
3,3,Residential Gas Consumption,Gas,2005,114674.0
4,4,Non-Residential Gas,Gas,2005,225283.0
5,5,Vehicle Miles Traveled,Vehicle Miles Traveled,2005,121736.0
6,6,"Community Waste (garbage, recycling and organics)",Waste,2005,17000.0
7,7,Renewable Energy Credits,Renewable Energy Credit,2005,
8,8,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2005,24559.0
9,9,Residential Electricity,Electricity,2006,149040.0
10,10,Non-Residential Electricity,Electricity,2006,399207.0
11,11,Government non-City-owned Electricty,Electricity,2006,641.0
12,12,Residential Gas Consumption,Gas,2006,116791.0
13,13,Non-Residential Gas,Gas,2006,222970.0
14,14,Vehicle Miles Traveled,Vehicle Miles Traveled,2006,121736.0
15,15,"Community Waste (garbage, recycling and organics)",Waste,2006,17000.0
16,16,Renewable Energy Credits,Renewable Energy Credit,2006,
17,17,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2006,24559.0
18,18,Residential Electricity,Electricity,2007,150400.0
19,19,Non-Residential Electricity,Electricity,2007,405327.0
20,20,Government non-City-owned Electricty,Electricity,2007,641.0
21,21,Residential Gas Consumption,Gas,2007,119144.0
22,22,Non-Residential Gas,Gas,2007,236012.0
23,23,Vehicle Miles Traveled,Vehicle Miles Traveled,2007,121736.0
24,24,"Community Waste (garbage, recycling and organics)",Waste,2007,17000.0
25,25,Renewable Energy Credits,Renewable Energy Credit,2007,
26,26,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2007,24559.0
27,27,Residential Electricity,Electricity,2008,147120.0
28,28,Non-Residential Electricity,Electricity,2008,394085.0
29,29,Government non-City-owned Electricty,Electricity,2008,641.0
30,30,Residential Gas Consumption,Gas,2008,127295.0
31,31,Non-Residential Gas,Gas,2008,246705.0
32,32,Vehicle Miles Traveled,Vehicle Miles Traveled,2008,121736.0
33,33,"Community Waste (garbage, recycling and organics)",Waste,2008,17000.0
34,34,Renewable Energy Credits,Renewable Energy Credit,2008,
35,35,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2008,24559.0
36,36,Residential Electricity,Electricity,2009,135831.0
37,37,Non-Residential Electricity,Electricity,2009,380465.0
38,38,Government non-City-owned Electricty,Electricity,2009,641.0
39,39,Residential Gas Consumption,Gas,2009,118762.0
40,40,Non-Residential Gas,Gas,2009,219684.0
41,41,Vehicle Miles Traveled,Vehicle Miles Traveled,2009,121736.0
42,42,"Community Waste (garbage, recycling and organics)",Waste,2009,17000.0
43,43,Renewable Energy Credits,Renewable Energy Credit,2009,
44,44,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2009,24559.0
45,45,Residential Electricity,Electricity,2010,149812.0
46,46,Non-Residential Electricity,Electricity,2010,397853.0
47,47,Government non-City-owned Electricty,Electricity,2010,641.0
48,48,Residential Gas Consumption,Gas,2010,114717.0
49,49,Non-Residential Gas,Gas,2010,199461.0
50,50,Vehicle Miles Traveled,Vehicle Miles Traveled,2010,118084.0
51,51,"Community Waste (garbage, recycling and organics)",Waste,2010,17709.0
52,52,Renewable Energy Credits,Renewable Energy Credit,2010,
53,53,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2010,19251.0
54,54,Residential Electricity,Electricity,2011,147949.0
55,55,Non-Residential Electricity,Electricity,2011,390608.0
56,56,Government non-City-owned Electricty,Electricity,2011,641.0
57,57,Residential Gas Consumption,Gas,2011,120070.0
58,58,Non-Residential Gas,Gas,2011,212294.0
59,59,Vehicle Miles Traveled,Vehicle Miles Traveled,2011,118084.0
60,60,"Community Waste (garbage, recycling and organics)",Waste,2011,17709.0
61,61,Renewable Energy Credits,Renewable Energy Credit,2011,
62,62,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2011,19251.0
63,63,Residential Electricity,Electricity,2012,153490.0
64,64,Non-Residential Electricity,Electricity,2012,393316.0
65,65,Government non-City-owned Electricty,Electricity,2012,641.0
66,66,Residential Gas Consumption,Gas,2012,120070.0
67,67,Non-Residential Gas,Gas,2012,212294.0
68,68,Vehicle Miles Traveled,Vehicle Miles Traveled,2012,118084.0
69,69,"Community Waste (garbage, recycling and organics)",Waste,2012,17709.0
70,70,Renewable Energy Credits,Renewable Energy Credit,2012,-76801.0
71,71,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2012,19251.0
72,72,Residential Electricity,Electricity,2013,140299.0
73,73,Non-Residential Electricity,Electricity,2013,381680.0
74,74,Government non-City-owned Electricty,Electricity,2013,641.0
75,75,Residential Gas Consumption,Gas,2013,122458.0
76,76,Non-Residential Gas,Gas,2013,222566.0
77,77,Vehicle Miles Traveled,Vehicle Miles Traveled,2013,118084.0
78,78,"Community Waste (garbage, recycling and organics)",Waste,2013,17709.0
79,79,Renewable Energy Credits,Renewable Energy Credit,2013,-131383.0
80,80,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2013,19251.0
81,81,Residential Electricity,Electricity,2014,139642.0
82,82,Non-Residential Electricity,Electricity,2014,372404.0
83,83,Government non-City-owned Electricty,Electricity,2014,641.0
84,84,Residential Gas Consumption,Gas,2014,114322.0
85,85,Non-Residential Gas,Gas,2014,186896.0
86,86,Vehicle Miles Traveled,Vehicle Miles Traveled,2014,118084.0
87,87,"Community Waste (garbage, recycling and organics)",Waste,2014,17709.0
88,88,Renewable Energy Credits,Renewable Energy Credit,2014,-144841.0
89,89,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2014,19251.0
90,90,Residential Electricity,Electricity,2015,121408.0
91,91,Non-Residential Electricity,Electricity,2015,339887.0
92,92,Government non-City-owned Electricty,Electricity,2015,641.0
93,93,Residential Gas Consumption,Gas,2015,118433.0
94,94,Non-Residential Gas,Gas,2015,222694.0
95,95,Vehicle Miles Traveled,Vehicle Miles Traveled,2015,118556.0
96,96,"Community Waste (garbage, recycling and organics)",Waste,2015,16226.0
97,97,Renewable Energy Credits,Renewable Energy Credit,2015,-128267.0
98,98,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2015,10689.0
99,99,Residential Electricity,Electricity,2016,114335.0
100,100,Non-Residential Electricity,Electricity,2016,300671.0
101,101,Government non-City-owned Electricty,Electricity,2016,641.0
102,102,Residential Gas Consumption,Gas,2016,106071.0
103,103,Non-Residential Gas,Gas,2016,213537.0
104,104,Vehicle Miles Traveled,Vehicle Miles Traveled,2016,122148.0
105,105,"Community Waste (garbage, recycling and organics)",Waste,2016,18216.0
106,106,Renewable Energy Credits,Renewable Energy Credit,2016,-119418.0
107,107,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2016,8144.0
108,108,Residential Electricity,Electricity,2017,111096.0
109,109,Non-Residential Electricity,Electricity,2017,301129.0
110,110,Government non-City-owned Electricty,Electricity,2017,730.0
111,111,Residential Gas Consumption,Gas,2017,109489.0
112,112,Non-Residential Gas,Gas,2017,213912.0
113,113,Vehicle Miles Traveled,Vehicle Miles Traveled,2017,142925.0
114,114,"Community Waste (garbage, recycling and organics)",Waste,2017,18475.0
115,115,Renewable Energy Credits,Renewable Energy Credit,2017,-111904.0
116,116,Estimated Municipal Operations GHG Emissions,Municipal Mixed,2017,8145.0
